bin,lens_bin,source_bin,radial_bin,r,value,error
56,0,3,11,0.998,0.00015256602379213715,8.007955228567901e-06
57,0,3,12,1.581,0.00012108376965034033,7.943795853797931e-06
58,0,3,13,2.506,8.739573805404179e-05,8.567247170190671e-06
59,0,3,14,3.972,6.025513878488202e-05,8.527497071790582e-06
60,1,0,0,0.006,0.00038957313966975763,9.910272467318606e-06
61,1,0,1,0.01,0.0006765701858315238,9.618705855784836e-06
62,1,0,2,0.016,0.0007798052593723938,9.2504905069091e-06
63,1,0,3,0.025,0.0006631962231432482,6.330223609873353e-06
64,1,0,4,0.04,0.0005001795190556989,5.338781882067713e-06
65,1,0,5,0.063,0.00036090590206767914,4.6265827256001955e-06
66,1,0,6,0.1,0.00024626906935664464,3.5182144224179947e-06
67,1,0,7,0.158,0.00016715707090129883,3.2319015735253133e-06
68,1,0,8,0.251,0.0001155252832296608,3.0037472256632677e-06
69,1,0,9,0.397,8.534544295049626e-05,2.52098018404364e-06
70,1,0,10,0.629,6.433303447703278e-05,2.397805606196771e-06
71,1,0,11,0.998,5.4032544096775766e-05,2.271090038605559e-06
72,1,0,12,1.581,4.237814799005995e-05,2.5416431952923916e-06
73,1,0,13,2.506,3.2297601670212383e-05,2.99485554311462e-06
74,1,0,14,3.972,1.876013851016327e-05,2.9039443266229545e-06
75,1,1,0,0.006,0.000811118411058411,1.858007784334162e-05
76,1,1,1,0.01,0.0013598548062166726,1.1950836043624688e-05
77,1,1,2,0.016,0.001562590628952308,1.1930752882945213e-05
78,1,1,3,0.025,0.0013446761222070942,1.1834965762151718e-05
79,1,1,4,0.04,0.001011284900305852,1.0211523697343862e-05
80,1,1,5,0.063,0.0007263492391184934,9.11723589159936e-06
81,1,1,6,0.1,0.0004970034490819927,6.6650981323343395e-06
82,1,1,7,0.158,0.0003351707090557791,5.844582009567268e-06
83,1,1,8,0.251,0.00023228879389122385,5.247466206640903e-06
84,1,1,9,0.397,0.00017201934088159802,4.146939696706961e-06
85,1,1,10,0.629,0.00012991307089008547,3.919513615040317e-06
86,1,1,11,0.998,0.00010783104396613846,3.617998472407042e-06
87,1,1,12,1.581,8.413156160037559e-05,3.953477395732543e-06
88,1,1,13,2.506,6.311384592129637e-05,4.532709301525532e-06
89,1,1,14,3.972,3.7640316467581116e-05,4.4774590719241995e-06
90,1,2,0,0.006,0.0012534772717661805,2.2003638636051512e-05
91,1,2,1,0.01,0.002126144431068017,2.624044369617504e-05
92,1,2,2,0.016,0.0023665834617976056,2.0471925081928687e-05
93,1,2,3,0.025,0.002014423962731268,1.908445046806663e-05
94,1,2,4,0.04,0.0015150487733223417,1.5359078979602826e-05
95,1,2,5,0.063,0.0010802081676588799,1.337725784572692e-05
96,1,2,6,0.1,0.0007386233499407099,1.0119259337678056e-05
97,1,2,7,0.158,0.0004955966794417352,8.529702567175421e-06
98,1,2,8,0.251,0.00034412050857067484,7.714801372886279e-06
99,1,2,9,0.397,0.00025466616115144003,6.238038457342211e-06
100,1,2,10,0.629,0.0001936251511514515,5.783877960646612e-06
101,1,2,11,0.998,0.00016107610271311567,5.649560138513407e-06
102,1,2,12,1.581,0.00012507657890600246,6.426783505869063e-06
103,1,2,13,2.506,9.28093797659786e-05,6.777485230249691e-06
104,1,2,14,3.972,5.6532664967221566e-05,6.319070497975835e-06
105,1,3,0,0.006,0.001410617903647197,2.7236242714213753e-05
106,1,3,1,0.01,0.002311921623663581,2.1448462636730546e-05
107,1,3,2,0.016,0.0026047576009083874,2.552369662823673e-05
108,1,3,3,0.025,0.0021987710759970623,2.191340826641049e-05
109,1,3,4,0.04,0.0016538609155444283,1.6821824937708293e-05
110,1,3,5,0.063,0.0011819566402655496,1.4805965178872655e-05
111,1,3,6,0.1,0.0008110229502019303,1.112162422184728e-05
112,1,3,7,0.158,0.0005416083205380766,9.244531585589742e-06
113,1,3,8,0.251,0.00037586800548484046,8.592101999769049e-06
114,1,3,9,0.397,0.00028071017641398237,7.0781559602355655e-06
115,1,3,10,0.629,0.0002130101174956303,6.870072445954728e-06
116,1,3,11,0.998,0.00017642344259232584,6.673603033541368e-06
117,1,3,12,1.581,0.0001367601843864042,7.765259472642585e-06
118,1,3,13,2.506,0.00010119636853517365,8.081171405775359e-06
119,1,3,14,3.972,6.313658197727609e-05,7.117884575202704e-06
120,2,0,0,0.006,0.00025208727779307664,1.1561601300026879e-05
121,2,0,1,0.01,0.0004463453771861145,7.85687129971015e-06
122,2,0,2,0.016,0.0005134829796905374,6.179464157873778e-06
123,2,0,3,0.025,0.0004293366163569668,4.505951480914293e-06
124,2,0,4,0.04,0.00031482317580915726,3.785613315851681e-06
125,2,0,5,0.063,0.00020800426279266257,3.170783337104186e-06
126,2,0,6,0.1,0.00012875607948307618,2.711451743326987e-06
127,2,0,7,0.158,8.340454156202282e-05,2.39878931838432e-06
128,2,0,8,0.251,6.002510188586961e-05,2.3349054559971364e-06
129,2,0,9,0.397,4.2242841436375735e-05,2.0751837245629867e-06
130,2,0,10,0.629,2.80844439582773e-05,1.949888881346304e-06
131,2,0,11,0.998,2.0849873338736788e-05,2.109907053703814e-06
132,2,0,12,1.581,1.3382053128304183e-05,2.4113798800191317e-06
133,2,0,13,2.506,8.156711319136442e-06,2.477663371535244e-06
134,2,0,14,3.972,4.2296072004591715e-06,2.2098275590705237e-06
135,2,1,0,0.006,0.0007514701753192071,1.826156434857397e-05
136,2,1,1,0.01,0.0012532579992265128,1.2434641655072064e-05
137,2,1,2,0.016,0.0014167003332988233,9.361794738056862e-06
138,2,1,3,0.025,0.0011958272846981394,9.021434678600545e-06
139,2,1,4,0.04,0.0008631911502436873,6.9576271324016425e-06
140,2,1,5,0.063,0.0005689000749049726,6.304546999978492e-06
141,2,1,6,0.1,0.00034836254357635185,5.1498887667332296e-06
142,2,1,7,0.158,0.0002256318844277528,4.3927788800734235e-06
143,2,1,8,0.251,0.00015869122913311282,3.781099093024875e-06
144,2,1,9,0.397,0.00011404125739939134,3.253553525122553e-06
145,2,1,10,0.629,8.234832977908745e-05,2.9928294244947066e-06
146,2,1,11,0.998,6.0502348017809664e-05,3.3850424233420815e-06
147,2,1,12,1.581,4.2685898684851866e-05,3.8597907178384084e-06
148,2,1,13,2.506,2.7974817835815922e-05,4.154095389665901e-06
149,2,1,14,3.972,1.5080731552728357e-05,3.461121038977656e-06
150,2,2,0,0.006,0.0014304422054518355,3.00352269019021e-05
151,2,2,1,0.01,0.002435291274081819,2.095949922953436e-05
152,2,2,2,0.016,0.002769429859414401,1.961535287934863e-05
153,2,2,3,0.025,0.002324291755023961,1.4679496657881606e-05
154,2,2,4,0.04,0.0016697443851235352,1.2274019177546642e-05
155,2,2,5,0.063,0.0011007286374782673,1.1055285350816811e-05
156,2,2,6,0.1,0.0006716521777648148,8.860143238424407e-06
157,2,2,7,0.158,0.0004333901488177531,7.317947347587381e-06
158,2,2,8,0.251,0.00030162206302781895,5.936042040944466e-06
159,2,2,9,0.397,0.0002188225014677975,4.9287284926075585e-06
160,2,2,10,0.629,0.00016342572453731838,4.5419215940349866e-06
161,2,2,11,0.998,0.00011844955279085785,5.274738228010782e-06
162,2,2,12,1.581,8.478114711466237e-05,5.995212176094888e-06
163,2,2,13,2.506,5.721710291603568e-05,6.324139134545252e-06
164,2,2,14,3.972,2.990939701214231e-05,5.152445781881189e-06
165,2,3,0,0.006,0.0017418210653878333,5.1805542910928185e-05
166,2,3,1,0.01,0.0029571714141597752,4.548442321839666e-05
167,2,3,2,0.016,0.0032707787242635083,2.0713051498288557e-05
