bin,lens_bin,source_bin,radial_bin,r,value,error
198,3,1,3,0.401,-1.0925731508923175,0.08955722592898441
199,3,1,4,0.635,-0.685422808796437,0.054838879515706186
200,3,1,5,1.007,-0.4109976616688619,0.033134038292756816
201,3,1,6,1.596,-0.28355773849318433,0.030514353728502735
202,3,1,7,2.53,-0.1624699005101722,0.024572961536020517
203,3,1,8,4.009,-0.17686883616913412,0.02820580923804165
204,3,1,9,6.355,-0.12294468086970127,0.023308368896940712
205,3,1,10,10.071,-0.16851708554675804,0.023411288669940192
206,3,1,11,15.962,-0.13764430993959306,0.025898866568760767
207,3,1,12,25.298,-0.16454572117254818,0.029035048622984463
208,3,1,13,40.095,-0.1555726393199023,0.044194383811110315
209,3,1,14,63.546,-0.08712384672917843,0.08746292786361035
210,3,2,0,0.101,-0.7833457138961337,0.8586032241113472
211,3,2,1,0.16,-1.0632071169846762,0.28498866234051135
212,3,2,2,0.253,-0.8975534082653268,0.17769746453237467
213,3,2,3,0.401,-0.39202427259451383,0.08488127526962722
214,3,2,4,0.635,-0.2756216008143758,0.04094310819955855
215,3,2,5,1.007,-0.08672551955684535,0.025997030923176966
216,3,2,6,1.596,-0.08383539244400429,0.027213046208534333
217,3,2,7,2.53,-0.07877586454129538,0.023176062344811895
218,3,2,8,4.009,-0.07107304738444008,0.022626144499548473
219,3,2,9,6.355,-0.06895585389308925,0.023686502097446816
220,3,2,10,10.071,-0.06432980379224595,0.02309599568618581
221,3,2,11,15.962,-0.07079730494412999,0.025142790823547985
222,3,2,12,25.298,-0.039745451041923126,0.022879195433815815
223,3,2,13,40.095,-0.06915153449211124,0.02901690289001684
224,3,2,14,63.546,0.011273991396281336,0.05588590165556378
225,3,3,0,0.101,-1.0760996319242166,1.8311605058293838
226,3,3,1,0.16,-0.34210347560377674,0.526619323049538
227,3,3,2,0.253,0.09871801228690608,0.2617836303501889
228,3,3,3,0.401,0.4918239123755721,0.09017759393121985
229,3,3,4,0.635,0.28548895085165693,0.05646722750295264
230,3,3,5,1.007,0.2287193215132487,0.043289742802568906
231,3,3,6,1.596,0.18041084673443664,0.04036874433126701
232,3,3,7,2.53,0.11564992364173195,0.03700973808556913
233,3,3,8,4.009,0.13498265429061124,0.04227311658749917
234,3,3,9,6.355,0.03178578807427169,0.038088854434412074
235,3,3,10,10.071,0.02345101535402939,0.036116382093355485
236,3,3,11,15.962,0.16263343430264007,0.03483260602258609
237,3,3,12,25.298,0.0653402841059608,0.03632810900463603
238,3,3,13,40.095,0.06252989775522437,0.050369770480166984
239,3,3,14,63.546,-0.03396230697004589,0.08432345908356875
240,4,0,0,0.101,nan,nan
241,4,0,1,0.16,nan,nan
242,4,0,2,0.253,nan,nan
243,4,0,3,0.401,nan,nan
244,4,0,4,0.635,nan,nan
245,4,0,5,1.007,nan,nan
246,4,0,6,1.596,nan,nan
247,4,0,7,2.53,nan,nan
248,4,0,8,4.009,nan,nan
249,4,0,9,6.355,nan,nan
250,4,0,10,10.071,nan,nan
251,4,0,11,15.962,nan,nan
252,4,0,12,25.298,nan,nan
253,4,0,13,40.095,nan,nan
254,4,0,14,63.546,nan,nan
255,4,1,0,0.101,nan,nan
256,4,1,1,0.16,nan,nan
257,4,1,2,0.253,nan,nan
258,4,1,3,0.401,nan,nan
259,4,1,4,0.635,nan,nan
260,4,1,5,1.007,nan,nan
261,4,1,6,1.596,nan,nan
262,4,1,7,2.53,nan,nan
263,4,1,8,4.009,nan,nan
264,4,1,9,6.355,nan,nan
265,4,1,10,10.071,nan,nan
266,4,1,11,15.962,nan,nan
267,4,1,12,25.298,nan,nan
268,4,1,13,40.095,nan,nan
269,4,1,14,63.546,nan,nan
270,4,2,0,0.101,-0.23123287896934047,1.3401357831868868
271,4,2,1,0.16,0.608770733260545,0.34978952350648046
272,4,2,2,0.253,-0.027522147124294682,0.11896878156924953
273,4,2,3,0.401,0.07337247349214585,0.060880375841593906
274,4,2,4,0.635,0.0434251901090267,0.049194854328310805
275,4,2,5,1.007,-0.015240124137048998,0.03294729135913198
276,4,2,6,1.596,0.03682231580847358,0.0390760568595595
277,4,2,7,2.53,-0.014178404680740782,0.04007210080304139
278,4,2,8,4.009,0.01920015386071132,0.03625499800290215
279,4,2,9,6.355,-0.004166035755739136,0.03047574608037006
280,4,2,10,10.071,-0.007035849106355248,0.028828538101590574
281,4,2,11,15.962,-0.04191685634372517,0.03295585752728198
282,4,2,12,25.298,0.044929521127102426,0.02816791162602075
283,4,2,13,40.095,0.033865087386846154,0.036112033690275755
284,4,2,14,63.546,0.021438852278126006,0.05164591680478555
285,4,3,0,0.101,-1.7047868509928203,2.184475462084598
