bin,lens_bin,source_bin,radial_bin,r,value,error,prediction
79,1,1,4,0.635,0.4663201029497961,0.058213329151729554,0.46105456618345386
80,1,1,5,1.007,0.6264198239413281,0.08520082558412391,0.5987684168286488
81,1,1,6,1.596,0.8124453809948625,0.10041211791332423,0.7451478741520666
82,1,1,7,2.53,0.9747032359285811,0.10379803879595187,0.8384142484668106
83,1,1,8,4.009,0.9787798941638612,0.11092944200966481,0.8287079908629198
84,1,1,9,6.355,0.9596665672229093,0.10258203144227436,0.7320660941513605
85,1,1,10,10.071,0.7387771958603889,0.1012239206088103,0.6262287657518751
86,1,1,11,15.962,0.5759955267821093,0.08022038047987794,0.518832388897833
87,1,1,12,25.298,0.2939715429222727,0.08986211790371147,0.48528496357551737
88,1,1,13,40.095,0.38930846313249484,0.10850705780943808,0.5067089356967986
89,1,1,14,63.546,0.5415562778023689,0.23323000288689671,0.7187302515309953
90,1,2,0,0.101,0.061243604047121876,0.09999191061446559,0.22265638308395863
91,1,2,1,0.16,0.05581129653598656,0.05112489911653243,0.18524339952878607
92,1,2,2,0.253,0.14888999879869516,0.04444963719380557,0.2135885507459406
93,1,2,3,0.401,0.24706055440964836,0.04144317394971014,0.27432459219213634
94,1,2,4,0.635,0.3362699677615857,0.05539806660773788,0.36475192339386225
95,1,2,5,1.007,0.5125953080205697,0.07679212515105913,0.47398532535333215
96,1,2,6,1.596,0.5887526665588567,0.09522977711270535,0.5894374095572427
97,1,2,7,2.53,0.755958715846757,0.09295121334642752,0.6646885479172726
98,1,2,8,4.009,0.7552419337067251,0.09731347252817722,0.653950596066549
99,1,2,9,6.355,0.7908466380269655,0.09264183103690521,0.5771332458971312
100,1,2,10,10.071,0.5654991488223666,0.09287605267781854,0.4899367180303566
101,1,2,11,15.962,0.4540073561456657,0.07483266631867809,0.40911488059393486
102,1,2,12,25.298,0.2522331652004262,0.09348165232662935,0.38646710275073043
103,1,2,13,40.095,0.3457503638290173,0.10732871332634089,0.4014608742498119
104,1,2,14,63.546,0.38745436425043983,0.24030240502213449,0.5819795112286745
105,1,3,0,0.101,-0.011687608759210972,0.10131117256682219,0.21802163087909865
106,1,3,1,0.16,-0.014861205145044864,0.048205851631810875,0.17941706467588844
107,1,3,2,0.253,0.10480020714888226,0.039522596152890284,0.20636372967825473
108,1,3,3,0.401,0.2508267439308167,0.046265087332236166,0.2657830101963819
109,1,3,4,0.635,0.33139851111084506,0.052386662426185865,0.35250807095078296
110,1,3,5,1.007,0.47503130038469016,0.07452637856390021,0.4556976385404991
111,1,3,6,1.596,0.5341371669841546,0.0904812942848144,0.5681094638526561
112,1,3,7,2.53,0.6671788952732434,0.09407034107759867,0.639928063644987
113,1,3,8,4.009,0.7152580675973413,0.0968414966290618,0.6267045391786289
114,1,3,9,6.355,0.7296351084404997,0.0946933852058075,0.5495440591333441
115,1,3,10,10.071,0.4968749702549398,0.09786162131173748,0.4697886934716022
116,1,3,11,15.962,0.4001684070857974,0.07670092619802549,0.39177439941985115
117,1,3,12,25.298,0.24735620766617752,0.10214631856267588,0.37269992345115405
118,1,3,13,40.095,0.3543387343311053,0.11888972184156855,0.38553557397879634
119,1,3,14,63.546,0.35544570387679614,0.25393636979244166,0.5592646348208378
120,2,0,0,0.101,1.071478951457303,0.649562120411262,nan
121,2,0,1,0.16,1.5777827795666195,0.29670917971611777,nan
122,2,0,2,0.253,1.6103214109440267,0.1721999826624345,nan
123,2,0,3,0.401,1.531780346644916,0.159978915693544,nan
124,2,0,4,0.635,2.4583874348158865,0.20486176686374258,nan
125,2,0,5,1.007,3.911248330063571,0.2559580480145619,nan
126,2,0,6,1.596,5.994051869158036,0.35306971871536263,nan
127,2,0,7,2.53,7.8120192167093006,0.4640626911527493,nan
128,2,0,8,4.009,7.8367846190316595,0.5424779114827664,nan
129,2,0,9,6.355,7.254345316362917,0.5720322510293806,nan
130,2,0,10,10.071,7.287442506030764,0.6367480066100314,nan
131,2,0,11,15.962,6.4335045640983335,0.5825218097598189,nan
132,2,0,12,25.298,7.014713351042169,0.7156439551536092,nan
133,2,0,13,40.095,6.962703005368752,0.8356660384197597,nan
134,2,0,14,63.546,14.44703741528835,2.0047340061355845,nan
135,2,1,0,0.101,0.48360562601255164,0.3139585647435324,1.9103911075713826
136,2,1,1,0.16,0.7124535044388967,0.13956779866521138,1.1845763261582867
137,2,1,2,0.253,0.8008766863245292,0.09603137635468018,1.058244994576649
138,2,1,3,0.401,1.140672530837749,0.09072484147288483,1.2285870031124806
139,2,1,4,0.635,1.609142404174283,0.10066959356079205,1.5980218889444358
140,2,1,5,1.007,2.29623434765446,0.14260904474248579,2.1621996490239437
141,2,1,6,1.596,3.4492783770197435,0.18338635790194047,2.932023627815219
