bin,lens_bin,source_bin,radial_bin,r,value,error
86,1,1,11,0.998,0.24409828563964897,0.07979327238848709
87,1,1,12,1.581,0.12065203674040959,0.10356719176504645
88,1,1,13,2.506,0.05580506897833182,0.1394091006212937
89,1,1,14,3.972,0.014175483682099532,0.17550287818295116
90,1,2,0,0.006,3.674819293647924,0.205888932992717
91,1,2,1,0.01,2.679545260839289,0.1546844299799043
92,1,2,2,0.016,1.9976935359812042,0.1108402828990629
93,1,2,3,0.025,1.4691723049922834,0.09228286167300233
94,1,2,4,0.04,1.05114549279548,0.08654384140295664
95,1,2,5,0.063,0.7307454588751705,0.07602341202600278
96,1,2,6,0.1,0.5721722993273115,0.07191324383910283
97,1,2,7,0.158,0.4346697426779178,0.06770166852666111
98,1,2,8,0.251,0.3386886068192929,0.06617466828852761
99,1,2,9,0.397,0.23836210885856968,0.06463806734469339
100,1,2,10,0.629,0.1392284848632741,0.06616563508152297
101,1,2,11,0.998,0.07194616117414121,0.07841022364216095
102,1,2,12,1.581,0.05193699863290657,0.10225662934173181
103,1,2,13,2.506,0.04884237862865515,0.1374507243718513
104,1,2,14,3.972,0.047808807342897275,0.17427609944208447
105,1,3,0,0.006,4.087555422901956,0.17597596459963036
106,1,3,1,0.01,2.7396062356067175,0.12910190814888756
107,1,3,2,0.016,2.0224644722553142,0.10171761936846903
108,1,3,3,0.025,1.4537137245587362,0.07297961379726658
109,1,3,4,0.04,1.0519752531039428,0.06325562577282973
110,1,3,5,0.063,0.7775080651374777,0.05673330498483333
111,1,3,6,0.1,0.5499859810028651,0.052397353113772784
112,1,3,7,0.158,0.44000970513380366,0.051617418149301764
113,1,3,8,0.251,0.3417084930274594,0.04897460985764727
114,1,3,9,0.397,0.23359801619464715,0.05269725204619096
115,1,3,10,0.629,0.1267002996304889,0.05732354277070037
116,1,3,11,0.998,0.05526385092957664,0.07473600210937342
117,1,3,12,1.581,0.025228443786895483,0.10191636133048196
118,1,3,13,2.506,0.014977858416775902,0.14043686787601975
119,1,3,14,3.972,0.024309635701547094,0.1767734514522225
120,2,0,0,0.006,37.16418280736933,0.44469935806909944
121,2,0,1,0.01,24.73889818945796,0.25849554999232416
122,2,0,2,0.016,16.19129236503356,0.18411252831370412
123,2,0,3,0.025,10.968794350802312,0.1421204768931417
124,2,0,4,0.04,7.654204731823011,0.13024425368244777
125,2,0,5,0.063,5.415288522990935,0.11293795930439479
126,2,0,6,0.1,4.15285010876294,0.09973106033925987
127,2,0,7,0.158,3.1356248302941925,0.09466178706898896
128,2,0,8,0.251,2.2230298455239383,0.0907114772841764
129,2,0,9,0.397,1.5125382093674977,0.08476488727271872
130,2,0,10,0.629,0.9789195456613387,0.08229899754352508
131,2,0,11,0.998,0.5888604540503772,0.08482830034185207
132,2,0,12,1.581,0.3254855604481355,0.09908384184450902
133,2,0,13,2.506,0.16513696525104482,0.12720741826000617
134,2,0,14,3.972,0.1553330938266262,0.16316936716337235
135,2,1,0,0.006,29.054370014344833,0.43787798150839846
136,2,1,1,0.01,19.024911129525492,0.2061576879649659
137,2,1,2,0.016,12.721577770663517,0.1480092315297179
138,2,1,3,0.025,8.646134766226222,0.110464983352712
139,2,1,4,0.04,5.912725948788422,0.0964791437800795
